datetime,avg_predicted_util,avg_tariff_inr,avg_actual_util
2022-07-15 14:00:00,0.23135567765472956,0.23135567765472956,14.303129422786947
2022-07-15 15:00:00,0.2309796367921926,0.2309796367921926,14.301595790977329
2022-07-15 16:00:00,0.23693510785717295,0.23693510785717295,14.34040319395346
2022-07-15 17:00:00,0.24640980382165484,0.24640980382165484,14.37180677913827
2022-07-15 18:00:00,0.2618935460722224,0.2618935460722224,14.420565492654495
2022-07-15 19:00:00,0.28358286653527115,0.28358286653527115,14.46636882701386
2022-07-15 20:00:00,0.2961953203474753,0.2961953203474753,14.464292910906375
2022-07-15 21:00:00,0.3077892678796192,0.3077892678796192,14.488423173058239
2022-07-15 22:00:00,0.32168095450980205,0.32168095450980205,14.510378937603553
2022-07-15 23:00:00,0.35119887739725303,0.35119887739725303,14.588663245417923
2022-07-16 00:00:00,0.354625189316139,0.354625189316139,14.599222358494329
2022-07-16 01:00:00,0.3524845495188897,0.3524845495188897,14.597086522926075
2022-07-16 02:00:00,0.35199178336005416,0.35199178336005416,14.597597755390082
2022-07-16 03:00:00,0.3513875747619646,0.3513875747619646,14.6093831884653
2022-07-16 04:00:00,0.3536020460236023,0.3536020460236023,14.606679583861624
2022-07-16 05:00:00,0.3568876678588181,0.3568876678588181,14.61818519949811
2022-07-16 06:00:00,0.34188780130841373,0.34188780130841373,14.59176892375981
2022-07-16 07:00:00,0.30707939677472956,0.30707939677472956,14.494592622632062
2022-07-16 08:00:00,0.29005629582015435,0.29005629582015435,14.461518390269266
2022-07-16 09:00:00,0.2698928228122035,0.2698928228122035,14.430770733716704
2022-07-16 10:00:00,0.253236218225537,0.253236218225537,14.379422455614401
2022-07-16 11:00:00,0.26087137819136835,0.26087137819136835,14.397004918850133
2022-07-16 12:00:00,0.2666779891135283,0.2666779891135283,14.401701082606614
2022-07-16 13:00:00,0.25330785949594936,0.25330785949594936,14.382644043434441
2022-07-16 14:00:00,0.24273491241277467,0.24273491241277467,14.354400817999295
2022-07-16 15:00:00,0.24183291272331478,0.24183291272331478,14.34654273518986
2022-07-16 16:00:00,0.24495826502149365,0.24495826502149365,14.370500257723496
2022-07-16 17:00:00,0.24963266522249303,0.24963266522249303,14.384448037085358
2022-07-16 18:00:00,0.26343541149974903,0.26343541149974903,14.397337880072742
2022-07-16 19:00:00,0.27735093890111406,0.27735093890111406,14.429204240122047
2022-07-16 20:00:00,0.287674867643881,0.287674867643881,14.457066278068186
2022-07-16 21:00:00,0.2937529306164194,0.2937529306164194,14.467282833334233
2022-07-16 22:00:00,0.304098410343853,0.304098410343853,14.508958803892115
2022-07-16 23:00:00,0.33347065291809236,0.33347065291809236,14.55037010861707
2022-07-17 00:00:00,0.33868005347740593,0.33868005347740593,14.580377161505995
2022-07-17 01:00:00,0.3373919740535552,0.3373919740535552,14.574651322137296
2022-07-17 02:00:00,0.3336584802246117,0.3336584802246117,14.559434634236124
2022-07-17 03:00:00,0.33039169902835935,0.33039169902835935,14.545372309621493
2022-07-17 04:00:00,0.333565074933038,0.333565074933038,14.567250380385635
2022-07-17 05:00:00,0.338263346167727,0.338263346167727,14.575773844038183
2022-07-17 06:00:00,0.32458537158738543,0.32458537158738543,14.55044662697582
2022-07-17 07:00:00,0.2935222938896057,0.2935222938896057,14.475151467016085
2022-07-17 08:00:00,0.27314841392977757,0.27314841392977757,14.432494556001584
2022-07-17 09:00:00,0.2551786793993017,0.2551786793993017,14.392004938821527
2022-07-17 10:00:00,0.24842425016825156,0.24842425016825156,14.361920727200305
2022-07-17 11:00:00,0.2585713071180707,0.2585713071180707,14.386468698872333
2022-07-17 12:00:00,0.25942037075166297,0.25942037075166297,14.384290407466784
2022-07-17 13:00:00,0.250029516032302,0.250029516032302,14.374084342968727
2022-07-17 14:00:00,0.2459867879184673,0.2459867879184673,14.360803040962693
2022-07-17 15:00:00,0.24908015483853446,0.24908015483853446,14.364932604254198
2022-07-17 16:00:00,0.25073121724916025,0.25073121724916025,14.354604672796693
2022-07-17 17:00:00,0.2603396090114062,0.2603396090114062,14.383899620068592
2022-07-17 18:00:00,0.28323691059337436,0.28323691059337436,14.42528554016434
2022-07-17 19:00:00,0.29083213698560045,0.29083213698560045,14.45544749327894
